CMDLINE C:\Users\w\PycharmProjects\effiziente-algorithmen-tp1tp2\venv\Scripts\python.exe .\LCS.py
MEM 1.804688 1652394202.8181
MEM 3.316406 1652394202.9321
MEM 3.316406 1652394203.0401
MEM 3.316406 1652394203.1471
MEM 3.316406 1652394203.2541
MEM 3.316406 1652394203.3651
MEM 3.316406 1652394203.4721
MEM 3.316406 1652394203.5821
MEM 3.316406 1652394203.6911
MEM 3.316406 1652394203.7991
MEM 3.316406 1652394203.9081
MEM 3.316406 1652394204.0181
MEM 3.316406 1652394204.1261
MEM 3.316406 1652394204.2371
MEM 3.316406 1652394204.3481
MEM 3.316406 1652394204.4571
MEM 3.316406 1652394204.5691
MEM 3.316406 1652394204.6811
MEM 3.316406 1652394204.7881
MEM 3.316406 1652394204.8981
MEM 3.316406 1652394205.0081
MEM 3.316406 1652394205.1161
MEM 3.316406 1652394205.2241
MEM 3.316406 1652394205.3341
MEM 3.316406 1652394205.4431
MEM 3.316406 1652394205.5551
MEM 3.316406 1652394205.6611
MEM 3.316406 1652394205.7691
MEM 3.316406 1652394205.8781
MEM 3.316406 1652394205.9891
MEM 3.316406 1652394206.0991
MEM 3.316406 1652394206.2081
MEM 3.316406 1652394206.3156
MEM 3.316406 1652394206.4246
MEM 3.316406 1652394206.5316
MEM 3.316406 1652394206.6426
MEM 3.316406 1652394206.7546
MEM 3.316406 1652394206.8646
MEM 3.316406 1652394206.9746
MEM 3.316406 1652394207.0856
MEM 3.316406 1652394207.1943
MEM 3.316406 1652394207.3029
MEM 3.316406 1652394207.4112
MEM 3.316406 1652394207.5192
MEM 3.316406 1652394207.6303
MEM 3.316406 1652394207.7393
MEM 3.316406 1652394207.8513
MEM 3.316406 1652394207.9603
MEM 3.316406 1652394208.0743
MEM 3.316406 1652394208.1843
MEM 3.316406 1652394208.2933
MEM 3.316406 1652394208.4003
MEM 3.316406 1652394208.5113
MEM 3.316406 1652394208.6213
MEM 3.316406 1652394208.7313
MEM 3.316406 1652394208.8413
MEM 3.316406 1652394208.9523
MEM 3.316406 1652394209.0583
MEM 3.316406 1652394209.1663
MEM 3.316406 1652394209.2753
MEM 3.316406 1652394209.3843
MEM 3.316406 1652394209.4943
MEM 3.316406 1652394209.6053
MEM 3.316406 1652394209.7143
MEM 3.316406 1652394209.8223
MEM 3.316406 1652394209.9313
MEM 3.316406 1652394210.0393
MEM 3.316406 1652394210.1483
MEM 3.316406 1652394210.2583
MEM 3.316406 1652394210.3663
MEM 3.316406 1652394210.4753
MEM 3.316406 1652394210.5843
MEM 3.316406 1652394210.6943
MEM 3.316406 1652394210.8043
MEM 3.316406 1652394210.9123
MEM 3.316406 1652394211.0213
MEM 3.316406 1652394211.1293
MEM 3.316406 1652394211.2393
MEM 3.316406 1652394211.3468
MEM 3.316406 1652394211.4548
MEM 3.316406 1652394211.5648
MEM 3.316406 1652394211.6738
MEM 3.316406 1652394211.7808
MEM 3.316406 1652394211.8908
MEM 3.316406 1652394211.9998
